"CBSA Code","CBSA Name","CBSA Type"
"31460","Madera, CA","Metropolitan"
"31500","Madison, IN","Micropolitan"
"31540","Madison, WI","Metropolitan"
"31580","Madisonville, KY","Micropolitan"
"31620","Magnolia, AR","Micropolitan"
"31660","Malone, NY","Micropolitan"
"31680","Malvern, AR","Micropolitan"
"31700","Manchester-Nashua, NH","Metropolitan"
"31740","Manhattan, KS","Metropolitan"
"31820","Manitowoc, WI","Micropolitan"
"31860","Mankato-North Mankato, MN","Metropolitan"
"31900","Mansfield, OH","Metropolitan"
"31930","Marietta, OH","Micropolitan"
"31940","Marinette, WI-MI","Micropolitan"
"31980","Marion, IN","Micropolitan"
"32000","Marion, NC","Micropolitan"
"32020","Marion, OH","Micropolitan"
"32100","Marquette, MI","Micropolitan"
"32140","Marshall, MN","Micropolitan"
"32180","Marshall, MO","Micropolitan"
"32220","Marshall, TX","Micropolitan"
"32260","Marshalltown, IA","Micropolitan"
"32280","Martin, TN","Micropolitan"
"32300","Martinsville, VA","Micropolitan"
"32340","Maryville, MO","Micropolitan"
"32380","Mason City, IA","Micropolitan"
"32420","Mayaguez, PR","Metropolitan"
"32460","Mayfield, KY","Micropolitan"
"32500","Maysville, KY","Micropolitan"
"32540","McAlester, OK","Micropolitan"
"32580","McAllen-Edinburg-Mission, TX","Metropolitan"
"32620","McComb, MS","Micropolitan"
"32660","McMinnville, TN","Micropolitan"
"32700","McPherson, KS","Micropolitan"
"32740","Meadville, PA","Micropolitan"
"32780","Medford, OR","Metropolitan"
"32820","Memphis, TN-MS-AR","Metropolitan"
"32860","Menomonie, WI","Micropolitan"
"32900","Merced, CA","Metropolitan"
"32940","Meridian, MS","Micropolitan"
"32980","Merrill, WI","Micropolitan"
"33020","Mexico, MO","Micropolitan"
"33060","Miami, OK","Micropolitan"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","Metropolitan"
"33140","Michigan City-La Porte, IN","Metropolitan"
"33180","Middlesborough, KY","Micropolitan"
"33220","Midland, MI","Metropolitan"
"33260","Midland, TX","Metropolitan"
"33300","Milledgeville, GA","Micropolitan"
"33340","Milwaukee-Waukesha-West Allis, WI","Metropolitan"
"33420","Mineral Wells, TX","Micropolitan"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","Metropolitan"
"33500","Minot, ND","Micropolitan"
